OID_,FID_Garage_Points_buffered,OID1,CIT_CODE,FAC_CODE,LotName,AggieMap,Name,LotType,ORIG_FID,X,Y,BUFF_DIST,FID_Buildings,Number,Abbrev,Private,Type,Bldg,BldgAbbr,BldgName,YearBuilt,NumFloors,Address,City,Zip,MapDisplay,Shape_Length,Shape_Area
-1,6,,20600,CAG,Cain Garage,1,CAIN,Garage Visitor,6,-96.343549999999993,30.611490000000000,1500.000000000000000,834,0989,VMCA,No,UNIVERSITY,0989,VMCA,TVMC-Caged Animals,1968,01,601 Turk Rd,College Station,77843,TVMC-Caged Animals | VMCA | 0989,19.006942405557329,10.747055281960051
-1,6,,20600,CAG,Cain Garage,1,CAIN,Garage Visitor,6,-96.343549999999993,30.611490000000000,1500.000000000000000,866, ,,No,UNIVERSITY,,,,,,,,, |  | ,24.822560425222569,35.095610467873158
-1,6,,20600,CAG,Cain Garage,1,CAIN,Garage Visitor,6,-96.343549999999993,30.611490000000000,1500.000000000000000,867, ,,No,UNIVERSITY,,,,,,,,, |  | ,16.943075318092383,17.930670317928080
-1,6,,20600,CAG,Cain Garage,1,CAIN,Garage Visitor,6,-96.343549999999993,30.611490000000000,1500.000000000000000,868, ,,No,UNIVERSITY,,,,,,,,, |  | ,18.680254428765110,21.765720991701723
-1,6,,20600,CAG,Cain Garage,1,CAIN,Garage Visitor,6,-96.343549999999993,30.611490000000000,1500.000000000000000,869, ,,No,UNIVERSITY,,,,,,,,, |  | ,25.951084508800374,32.378980744091095
-1,6,,20600,CAG,Cain Garage,1,CAIN,Garage Visitor,6,-96.343549999999993,30.611490000000000,1500.000000000000000,873, ,,No,UNIVERSITY,,,,,,,,, |  | ,14.439026220027880,13.024502055175287
-1,1,,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,1500.000000000000000,1330,,,No,LEASE,,,,,,,,, |  | ,117.857205140471720,850.142194779498368
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,1500.000000000000000,1330,,,No,LEASE,,,,,,,,, |  | ,117.857205140471720,850.142194779498368
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,1500.000000000000000,318, ,,No,UNIVERSITY,,,,,,,,, |  | ,18.491073631453943,24.674160013361053
-1,3,,20100,NSG,Northside Garage,1,NSG,Garage Visitor,3,-96.343410000000006,30.619240000000001,1500.000000000000000,318, ,,No,UNIVERSITY,,,,,,,,, |  | ,18.491073631453943,24.674160013361053
-1,2,,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,1500.000000000000000,319, ,,No,UNIVERSITY,,,,,,,,, |  | ,9.809901225623744,5.999347995500312
